At frame 0, truck 1 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 102, car 8 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, person 25 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, person 32 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 24 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, person 55 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 47 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 64 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 52 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 61 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 102, car 11 is located at coordinates [1248.35, 662.12] with a bounding box of width 245.56 and height 182.09.
 At frame 103, car 41 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 23 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 21 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 61 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 8 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 47 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, person 25 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, person 32 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 24 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 

=====================================================

At frame 103, car 64 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 52 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, person 55 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 103, car 65 is located at coordinates [1249.42, 661.05] with a bounding box of width 253.41 and height 184.37.
 At frame 104, car 41 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 21 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 23 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, person 25 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 47 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 61 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 24 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, person 32 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 8 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 64 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 52 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, person 55 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 65 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 66 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 104, car 27 is located at coordinates [1256.99, 660.61] with a bounding box of width 253.24 and height 185.74.
 At frame 105, car 41 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 23 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 21 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 47 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, person 25 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 8 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 24 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 61 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, person 32 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, person 55 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 52 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 64 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 65 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 27 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 105, car 14 is located at coordinates [1260.71, 658.63] with a bounding box of width 258.73 and height 188.64.
 At frame 106, car 41 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 23 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 21 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, person 25 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 47 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 24 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 61 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, person 55 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 64 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 52 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 54 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 27 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 11 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 106, car 14 is located at coordinates [1265.86, 658.43] with a bounding box of width 261.19 and height 190.93.
 At frame 107, car 41 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 23 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 

=====================================================

At frame 107, car 21 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, person 25 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 24 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 47 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 61 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, person 55 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 52 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 64 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 27 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, car 54 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 107, person 32 is located at coordinates [1269.69, 655.27] with a bounding box of width 266.12 and height 196.34.
 At frame 108, car 41 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 23 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 21 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 47 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 24 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, person 25 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 61 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, person 55 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 52 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 64 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 54 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 108, car 27 is located at coordinates [1274.83, 655.09] with a bounding box of width 273.67 and height 194.51.
 At frame 109, car 23 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 41 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 21 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 47 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 24 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, person 25 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 61 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, person 55 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 52 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 27 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 64 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 109, car 54 is located at coordinates [77.45, 688.47] with a bounding box of width 276.33 and height 231.47.
 At frame 110, car 41 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 23 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 21 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 24 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 47 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 61 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, person 25 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 52 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 27 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 54 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, person 55 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 64 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 110, car 11 is located at coordinates [1283.37, 652.83] with a bounding box of width 287.84 and height 198.51.
 At frame 111, car 41 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 23 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 

=====================================================

At frame 111, car 21 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 47 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 24 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, person 25 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 64 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 61 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 52 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 27 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, person 32 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 71 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, person 55 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 111, car 11 is located at coordinates [1288.24, 652.18] with a bounding box of width 290.36 and height 200.71.
 At frame 112, car 21 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 41 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 23 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 47 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 24 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, person 25 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, person 32 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 71 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 61 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 52 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, person 55 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 27 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 64 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 11 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 65 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 112, car 54 is located at coordinates [1563.27, 630.78] with a bounding box of width 355.81 and height 312.92.
 At frame 113, car 21 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 41 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 23 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 47 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 24 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, person 25 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, person 32 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 11 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, person 55 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 61 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 71 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 64 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 52 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 27 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 54 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 113, car 73 is located at coordinates [1577.47, 634.07] with a bounding box of width 341.77 and height 308.03.
 At frame 114, car 21 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 41 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 23 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 47 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, person 32 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, person 25 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 

=====================================================

At frame 114, car 24 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 11 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, person 55 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 64 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 54 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 61 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 73 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 71 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 52 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 114, car 27 is located at coordinates [1590.47, 629.92] with a bounding box of width 328.89 and height 308.84.
 At frame 115, car 41 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 23 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 21 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 47 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, person 32 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 24 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, person 25 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, person 55 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 52 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 64 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 11 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 61 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 73 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 54 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 71 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 115, car 27 is located at coordinates [1307.96, 643.87] with a bounding box of width 304.23 and height 214.87.
 At frame 116, car 41 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 23 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 21 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 47 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 24 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, person 25 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, person 32 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, person 55 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 76 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 64 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 61 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 52 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 73 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 54 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 71 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 27 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 116, car 11 is located at coordinates [1314.31, 641.48] with a bounding box of width 311.73 and height 216.95.
 At frame 117, car 41 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 23 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 21 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, person 25 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 47 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, person 32 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 24 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 

=====================================================

At frame 117, car 64 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, person 55 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 61 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 11 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 52 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 27 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 54 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 76 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 117, car 73 is located at coordinates [1319.31, 640.24] with a bounding box of width 311.44 and height 220.35.
 At frame 118, car 41 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 23 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 21 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 47 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, person 25 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 24 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, person 32 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 11 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 27 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 65 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 52 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, person 55 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 61 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 73 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 54 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 64 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 71 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 118, car 76 is located at coordinates [1324.92, 637.31] with a bounding box of width 317.82 and height 222.76.
 At frame 119, car 41 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 23 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 21 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 47 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, person 25 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 64 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, person 32 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 24 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, person 55 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 76 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 27 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 54 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 61 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 52 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 119, car 11 is located at coordinates [1330.46, 634.59] with a bounding box of width 316.26 and height 227.20.
 At frame 120, car 41 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 23 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 21 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, person 25 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 47 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 24 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, person 32 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 52 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 

=====================================================

At frame 120, car 65 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, person 55 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 27 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 76 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 66 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 61 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 54 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 11 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
 At frame 120, car 64 is located at coordinates [1337.98, 632.83] with a bounding box of width 315.26 and height 230.08.
